region,clinic_visit_week,lag_start,lag_end,rainfall_lagged_mm
Morogoro,2022-09-17,2022-08-06,2022-09-03,7.52
Morogoro,2022-09-24,2022-08-13,2022-09-10,8.0
Morogoro,2022-10-01,2022-08-20,2022-09-17,9.0
Morogoro,2022-10-08,2022-08-27,2022-09-24,9.46
Morogoro,2022-10-15,2022-09-03,2022-10-01,11.02
Morogoro,2022-10-22,2022-09-10,2022-10-08,11.66
Morogoro,2022-10-29,2022-09-17,2022-10-15,12.34
Morogoro,2022-11-05,2022-09-24,2022-10-22,13.52
Morogoro,2022-11-12,2022-10-01,2022-10-29,12.77
Morogoro,2022-11-19,2022-10-08,2022-11-05,15.06
Morogoro,2022-11-26,2022-10-15,2022-11-12,18.69
Morogoro,2022-12-03,2022-10-22,2022-11-19,21.23
Morogoro,2022-12-10,2022-10-29,2022-11-26,49.97
Morogoro,2022-12-17,2022-11-05,2022-12-03,57.71
Morogoro,2022-12-24,2022-11-12,2022-12-10,52.62
Morogoro,2022-12-31,2022-11-19,2022-12-17,78.08
Morogoro,2023-01-07,2022-11-26,2022-12-24,109.26
Morogoro,2023-01-14,2022-12-03,2022-12-31,203.42
Morogoro,2023-01-21,2022-12-10,2023-01-07,205.62
Morogoro,2023-01-28,2022-12-17,2023-01-14,238.94
Morogoro,2023-02-04,2022-12-24,2023-01-21,230.79
Morogoro,2023-02-11,2022-12-31,2023-01-28,182.97
Morogoro,2023-02-18,2023-01-07,2023-02-04,207.67
Morogoro,2023-02-25,2023-01-14,2023-02-11,244.77
Morogoro,2023-03-04,2023-01-21,2023-02-18,216.92
Morogoro,2023-03-11,2023-01-28,2023-02-25,158.67
Morogoro,2023-03-18,2023-02-04,2023-03-04,137.49
Morogoro,2023-03-25,2023-02-11,2023-03-11,42.01
Morogoro,2023-04-01,2023-02-18,2023-03-18,43.18
Morogoro,2023-04-08,2023-02-25,2023-03-25,99.44
Morogoro,2023-04-15,2023-03-04,2023-04-01,188.45
Morogoro,2023-04-22,2023-03-11,2023-04-08,260.66
Morogoro,2023-04-29,2023-03-18,2023-04-15,359.45
Morogoro,2023-05-06,2023-03-25,2023-04-22,411.61
Morogoro,2023-05-13,2023-04-01,2023-04-29,402.97
Morogoro,2023-05-20,2023-04-08,2023-05-06,376.11
Morogoro,2023-05-27,2023-04-15,2023-05-13,271.75
Morogoro,2023-06-03,2023-04-22,2023-05-20,201.96
Morogoro,2023-06-10,2023-04-29,2023-05-27,130.41
Morogoro,2023-06-17,2023-05-06,2023-06-03,89.13
Morogoro,2023-06-24,2023-05-13,2023-06-10,85.31
Morogoro,2023-07-01,2023-05-20,2023-06-17,47.63
Morogoro,2023-07-08,2023-05-27,2023-06-24,32.77
Morogoro,2023-07-15,2023-06-03,2023-07-01,23.16
Morogoro,2023-07-22,2023-06-10,2023-07-08,6.78
Morogoro,2023-07-29,2023-06-17,2023-07-15,6.84
Morogoro,2023-08-05,2023-06-24,2023-07-22,8.38
Morogoro,2023-08-12,2023-07-01,2023-07-29,8.73
Morogoro,2023-08-19,2023-07-08,2023-08-05,8.81
Morogoro,2023-08-26,2023-07-15,2023-08-12,9.61
Morogoro,2023-09-02,2023-07-22,2023-08-19,8.33
Morogoro,2023-09-09,2023-07-29,2023-08-26,8.27
Morogoro,2023-09-16,2023-08-05,2023-09-02,8.39
Morogoro,2023-09-23,2023-08-12,2023-09-09,7.85
Morogoro,2023-09-30,2023-08-19,2023-09-16,9.03
Morogoro,2023-10-07,2023-08-26,2023-09-23,9.77
Morogoro,2023-10-14,2023-09-02,2023-09-30,11.15
Morogoro,2023-10-21,2023-09-09,2023-10-07,12.93
Morogoro,2023-10-28,2023-09-16,2023-10-14,11.46
Morogoro,2023-11-04,2023-09-23,2023-10-21,15.18
Morogoro,2023-11-11,2023-09-30,2023-10-28,19.38
Morogoro,2023-11-18,2023-10-07,2023-11-04,72.34
Morogoro,2023-11-25,2023-10-14,2023-11-11,106.4
Morogoro,2023-12-02,2023-10-21,2023-11-18,131.61
Morogoro,2023-12-09,2023-10-28,2023-11-25,184.66
Morogoro,2023-12-16,2023-11-04,2023-12-02,148.07
Morogoro,2023-12-23,2023-11-11,2023-12-09,240.66
Morogoro,2023-12-30,2023-11-18,2023-12-16,240.64
Mwanza,2022-01-01,2021-11-20,2021-12-18,208.29
Mwanza,2022-01-08,2021-11-27,2021-12-25,264.21
Mwanza,2022-01-15,2021-12-04,2022-01-01,290.72
Mwanza,2022-01-22,2021-12-11,2022-01-08,304.03
Mwanza,2022-01-29,2021-12-18,2022-01-15,265.16
Mwanza,2022-02-05,2021-12-25,2022-01-22,296.51
Mwanza,2022-02-12,2022-01-01,2022-01-29,223.49
Mwanza,2022-02-19,2022-01-08,2022-02-05,242.22
Mwanza,2022-02-26,2022-01-15,2022-02-12,291.24
Mwanza,2022-03-05,2022-01-22,2022-02-19,242.74
Mwanza,2022-03-12,2022-01-29,2022-02-26,293.92
Mwanza,2022-03-19,2022-02-05,2022-03-05,240.1
Mwanza,2022-03-26,2022-02-12,2022-03-12,194.15
Mwanza,2022-04-02,2022-02-19,2022-03-19,131.31
Mwanza,2022-04-09,2022-02-26,2022-03-26,92.02
Mwanza,2022-04-16,2022-03-05,2022-04-02,134.92
Mwanza,2022-04-23,2022-03-12,2022-04-09,132.85
Mwanza,2022-04-30,2022-03-19,2022-04-16,132.04
Mwanza,2022-05-07,2022-03-26,2022-04-23,169.51
Mwanza,2022-05-14,2022-04-02,2022-04-30,192.19
Mwanza,2022-05-21,2022-04-09,2022-05-07,227.8
Mwanza,2022-05-28,2022-04-16,2022-05-14,212.31
Mwanza,2022-06-04,2022-04-23,2022-05-21,145.7
Mwanza,2022-06-11,2022-04-30,2022-05-28,97.53
Mwanza,2022-06-18,2022-05-07,2022-06-04,111.22
Mwanza,2022-06-25,2022-05-14,2022-06-11,110.63
Mwanza,2022-07-02,2022-05-21,2022-06-18,106.6
Mwanza,2022-07-09,2022-05-28,2022-06-25,72.41
Mwanza,2022-07-16,2022-06-04,2022-07-02,8.0
Mwanza,2022-07-23,2022-06-11,2022-07-09,3.6
Mwanza,2022-07-30,2022-06-18,2022-07-16,3.67
Mwanza,2022-08-06,2022-06-25,2022-07-23,0.8
Mwanza,2022-08-13,2022-07-02,2022-07-30,0.58
Mwanza,2022-08-20,2022-07-09,2022-08-06,19.38
Mwanza,2022-08-27,2022-07-16,2022-08-13,19.09
Mwanza,2022-09-03,2022-07-23,2022-08-20,50.02
Mwanza,2022-09-10,2022-07-30,2022-08-27,53.35
Mwanza,2022-09-17,2022-08-06,2022-09-03,72.99
Mwanza,2022-09-24,2022-08-13,2022-09-10,106.62
Mwanza,2022-10-01,2022-08-20,2022-09-17,86.8
Mwanza,2022-10-08,2022-08-27,2022-09-24,87.44
Mwanza,2022-10-15,2022-09-03,2022-10-01,64.69
